#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Nov 19 11:06:46 EST 2019,83,83,Assignment5Suite,AddEdgeTest0+ AddEdgeTest3+ AddEdgeTest4+ AddNodeTest0+ AddNodeTest1+ AddNodeTest2+ DelEdgeTest0+ DelEdgeTest1+ DelNodeTest0+ DelNodeTest1+ DelNodeTest2+ NumEdgeTest0+ NumEdgeTest1+ NumNodeTest0+ NumNodeTest1+ , ,AddEdgeTest1- AddEdgeTest2- DelEdgeTest2- , ,
1,Tue Nov 19 11:10:43 EST 2019,83,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 AddEdgeTest2 DelEdgeTest2 , ,
2,Tue Nov 19 11:15:21 EST 2019,77,-6,Assignment5Suite,AddEdgeTest0 AddEdgeTest1+ AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest2 AddEdgeTest3- DelEdgeTest2 NumEdgeTest0- , ,
3,Tue Nov 19 11:16:23 EST 2019,83,6,Assignment5Suite,AddEdgeTest0 AddEdgeTest3+ AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0+ NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1- AddEdgeTest2 DelEdgeTest2 , ,
4,Tue Nov 19 11:18:51 EST 2019,83,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 AddEdgeTest2 DelEdgeTest2 , ,
5,Tue Nov 19 17:49:28 EST 2019,66,-17,Assignment5Suite,AddEdgeTest0 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 AddEdgeTest2 AddEdgeTest3- DelEdgeTest2 NumEdgeTest0- NumEdgeTest1- , ,
6,Tue Nov 19 17:49:53 EST 2019,77,11,Assignment5Suite,AddEdgeTest0 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0+ NumEdgeTest1+ NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 DelEdgeTest2 , ,
7,Tue Nov 19 17:50:27 EST 2019,83,6,Assignment5Suite,AddEdgeTest0 AddEdgeTest3+ AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 AddEdgeTest2 DelEdgeTest2 , ,
8,Tue Nov 19 17:52:01 EST 2019,77,-6,Assignment5Suite,AddEdgeTest0 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 AddEdgeTest2 AddEdgeTest3- DelEdgeTest2 , ,
9,Tue Nov 19 17:52:17 EST 2019,77,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 DelEdgeTest2 , ,
10,Tue Nov 19 17:53:55 EST 2019,83,6,Assignment5Suite,AddEdgeTest0 AddEdgeTest3+ AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 AddEdgeTest2 DelEdgeTest2 , ,
