#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Oct 12 13:13:54 EDT 2019,22,22,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ SizeTest1+ , ,DelMinTest1- DelMinTest2- DelMinTest3- DelMinTest4- EverythingTest- GetMinTest1- GetMinTest2- GetMinTest3- InsertTest1- InsertTest2- InsertTest3- SizeTest2- SizeTest3- SizeTest4- , ,
1,Sun Oct 13 13:01:45 EDT 2019,22,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
2,Sun Oct 13 13:03:05 EDT 2019,16,-6,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1- SizeTest2 SizeTest3 SizeTest4 , ,
3,Sun Oct 13 13:05:11 EDT 2019,22,6,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1+ , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
4,Sun Oct 13 13:06:33 EDT 2019,22,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
5,Sun Oct 13 15:00:57 EDT 2019,22,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
6,Sun Oct 13 15:01:11 EDT 2019,22,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
7,Sun Oct 13 15:04:05 EDT 2019,22,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
8,Sun Oct 13 15:05:35 EDT 2019,22,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
9,Sun Oct 13 15:06:20 EDT 2019,5,-17,Assignment3Suite,SizeTest1 , ,BuildTest1- BuildTest2- BuildTest3- DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
10,Sun Oct 13 15:06:38 EDT 2019,22,17,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
11,Sun Oct 13 15:07:33 EDT 2019,22,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
12,Sun Oct 13 15:07:58 EDT 2019,22,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
13,Sun Oct 13 15:08:44 EDT 2019,22,0,Assignment3Suite,BuildTest2 BuildTest3 SizeTest1 SizeTest2+ , ,BuildTest1- DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest3 SizeTest4 , ,
14,Sun Oct 13 15:10:06 EDT 2019,22,0,Assignment3Suite,BuildTest2 BuildTest3 SizeTest1 SizeTest2 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest3 SizeTest4 , ,
15,Sun Oct 13 15:11:10 EDT 2019,22,0,Assignment3Suite,BuildTest1+ BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2- SizeTest3 SizeTest4 , ,
16,Sun Oct 13 15:12:42 EDT 2019,22,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
17,Sun Oct 13 15:15:12 EDT 2019,22,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
18,Sun Oct 13 15:19:56 EDT 2019,22,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
19,Sun Oct 13 16:20:47 EDT 2019,22,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
20,Sun Oct 13 16:22:42 EDT 2019,22,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
21,Mon Oct 14 13:29:47 EDT 2019,16,-6,Assignment3Suite,BuildTest2 BuildTest3 SizeTest1 , ,BuildTest1- DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
22,Mon Oct 14 13:30:17 EDT 2019,22,6,Assignment3Suite,BuildTest1+ BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
23,Mon Oct 14 17:05:05 EDT 2019,22,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest2 SizeTest3 SizeTest4 , ,
24,Mon Oct 14 17:11:47 EDT 2019,16,-6,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1- SizeTest2 SizeTest3 SizeTest4 , ,
25,Mon Oct 14 17:16:26 EDT 2019,16,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
26,Mon Oct 14 17:19:01 EDT 2019,16,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
