#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sun Sep 15 12:48:12 EDT 2019,23,23,Assignment1Suite,SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , ,ClearTest0- ClearTest1- EverythingTest0- GetTest0- GetTest1- InsertTest0- InsertTest1- InsertTest2- InsertTest3- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- , ,
1,Sun Sep 15 12:49:47 EDT 2019,23,0,Assignment1Suite,SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
2,Sun Sep 15 12:56:42 EDT 2019,23,0,Assignment1Suite,SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
3,Sun Sep 15 13:00:08 EDT 2019,17,-6,Assignment1Suite,SizeTest0 SizeTest1 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest2- , ,
4,Sun Sep 15 13:02:57 EDT 2019,5,-12,Assignment1Suite,SizeTest0 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1- SizeTest2 SizeTest3- , ,
5,Sun Sep 15 13:05:00 EDT 2019,17,12,Assignment1Suite,SizeTest0 SizeTest1+ SizeTest3+ , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest2 , ,
6,Sun Sep 15 13:07:08 EDT 2019,17,0,Assignment1Suite,SizeTest0 SizeTest1 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest2 , ,
7,Sun Sep 15 13:13:09 EDT 2019,23,6,Assignment1Suite,SizeTest0 SizeTest1 SizeTest2+ SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
8,Sun Sep 15 13:16:15 EDT 2019,5,-18,Assignment1Suite,SizeTest0 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1- SizeTest2- SizeTest3- , ,
9,Sun Sep 15 13:18:40 EDT 2019,5,0,Assignment1Suite,SizeTest0 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 SizeTest3 , ,
